uuid,type,team_id,ip,hostname,method,user_agent,content,url,size,created_at,custom_action_errors,time,request.header.accept-language,request.header.accept-encoding,request.header.referer,request.header.sec-fetch-dest,request.header.sec-fetch-user,request.header.sec-fetch-mode,request.header.sec-fetch-site,request.header.accept,request.header.user-agent,request.header.upgrade-insecure-requests,request.header.sec-ch-ua-platform,request.header.sec-ch-ua-mobile,request.header.sec-ch-ua,request.header.host,request.query.uid,request.header.x-datadog-tags,request.header.x-datadog-sampling-priority,request.header.x-datadog-parent-id,request.header.x-datadog-trace-id,request.header.content-type,request.header.content-length,request.header.postman-token,request.header.from,request.header.x-openai-host-hash,request.header.connection
1c555fbc-a630-49f1-9676-c4cbc415cdc7,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""fafb1060-78b4-4b08-98fd-0dfb49210fa0"", ""text"": ""you wanna summarize, they have that information, that data,"", ""speaker"": ""SPEAKER_3"", ""speaker_id"": 3, ""is_user"": false, ""person_id"": null, ""start"": 2867.529199, ""end"": 2911.157949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,319,6/11/2025 16:50,Array,0.000515938,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3df00000000",1,8.26319E+17,1.75704E+19,application/json,319,,,,
64909253-25af-481c-8d67-57046a821eb4,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""a1e19fde-8b93-4ca4-a14d-58b69d073321"", ""text"": ""Whatever is"", ""speaker"": ""SPEAKER_3"", ""speaker_id"": 3, ""is_user"": false, ""person_id"": null, ""start"": 2865.939199, ""end"": 2907.1679489999997, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,278,6/11/2025 16:50,Array,0.000430822,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3dc00000000",1,3.20676E+18,1.76314E+19,application/json,278,,,,
ae78a006-79b6-4560-bf5d-85d210cf41db,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""dbc02eab-08d9-4c01-b4bb-d05a33eff3f0"", ""text"": ""back to the sunroom."", ""speaker"": ""SPEAKER_3"", ""speaker_id"": 3, ""is_user"": false, ""person_id"": null, ""start"": 2864.679199, ""end"": 2905.588049, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,280,6/11/2025 16:50,Array,0.000435114,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3da00000000",1,5.15769E+18,7.0505E+18,application/json,280,,,,
eb246264-97f8-4204-8011-2e7f273103ee,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""4d04aeb6-ab1b-4053-bfaf-af87245eab37"", ""text"": ""The"", ""speaker"": ""SPEAKER_3"", ""speaker_id"": 3, ""is_user"": false, ""person_id"": null, ""start"": 2863.729199, ""end"": 2863.969199, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,263,6/11/2025 16:50,Array,0.000433922,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3d800000000",1,1.00789E+19,3.34286E+17,application/json,263,,,,
9779dc66-221b-4300-b2c1-bc7b2a895eb1,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""f873cc4a-e993-4be0-b280-f30d4ada1b95"", ""text"": ""With OpenAI."", ""speaker"": ""SPEAKER_3"", ""speaker_id"": 3, ""is_user"": false, ""person_id"": null, ""start"": 2861.989199, ""end"": 2902.737949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,272,6/11/2025 16:50,Array,0.000494003,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3d700000000",1,1.22717E+19,9.20554E+18,application/json,272,,,,
e59d51c5-6534-4f1d-bb9c-f8430ccf324e,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""877a8e14-d7d5-4654-ad32-6ab4d1dfeaea"", ""text"": ""Yeah. They can promote because you you agreed to terms and"", ""speaker"": ""SPEAKER_5"", ""speaker_id"": 5, ""is_user"": false, ""person_id"": null, ""start"": 2858.879099, ""end"": 2901.1479489999997, ""translations"": []}, {""id"": ""8665a14d-3ddf-49ea-b3bb-aa87e8b69f44"", ""text"": ""conditions."", ""speaker"": ""SPEAKER_7"", ""speaker_id"": 7, ""is_user"": false, ""person_id"": null, ""start"": 2901.1479489999997, ""end"": 2901.387949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,543,6/11/2025 16:50,Array,0.000491142,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3d500000000",1,2.65693E+18,1.3915E+19,application/json,543,,,,
004cb0ba-0dce-407d-8315-22dbd862fb96,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""ba8f9c91-72f9-4e3f-95d3-406877d58d4f"", ""text"": ""To promote, like and take"", ""speaker"": ""SPEAKER_5"", ""speaker_id"": 5, ""is_user"": false, ""person_id"": null, ""start"": 2855.129099, ""end"": 2896.517749, ""translations"": []}, {""id"": ""a20ca90e-70b0-471e-b9ca-e4d2f05385cd"", ""text"": ""our website. Even even though we're a paid user"", ""speaker"": ""SPEAKER_1"", ""speaker_id"": 1, ""is_user"": false, ""person_id"": null, ""start"": 2896.517749, ""end"": 2898.197949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,532,6/11/2025 16:50,Array,0.000437975,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3d300000000",1,1.08596E+18,1.13888E+19,application/json,532,,,,
4b862e3e-71ca-4a12-b738-63e13b30ea43,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""b1ac759a-5c20-4c84-bdf6-31590f5898ca"", ""text"": ""like, our app like, that's up. Like, they can take our pictures and use it on their website."", ""speaker"": ""SPEAKER_5"", ""speaker_id"": 5, ""is_user"": false, ""person_id"": null, ""start"": 2850.679399, ""end"": 2894.467949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,352,6/11/2025 16:50,Array,0.000396967,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3ce00000000",1,1.50811E+19,1.38867E+19,application/json,352,,,,
8c5da7ee-8db5-4846-96f2-b99928e7cd59,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""64104f49-76e1-4be9-94d7-94386f2df4e1"", ""text"": ""'ll only"", ""speaker"": ""SPEAKER_2"", ""speaker_id"": 2, ""is_user"": false, ""person_id"": null, ""start"": 2848.609199, ""end"": 2889.277949, ""translations"": []}, {""id"": ""5c828684-1781-40b9-a9f0-ac15e5b3d422"", ""text"": ""leave the rates of"", ""speaker"": ""SPEAKER_5"", ""speaker_id"": 5, ""is_user"": false, ""person_id"": null, ""start"": 2889.277949, ""end"": 2889.838049, ""translations"": []}, {""id"": ""84608dc1-3c76-4960-a515-8d146f2a192f"", ""text"": ""having"", ""speaker"": ""SPEAKER_7"", ""speaker_id"": 7, ""is_user"": false, ""person_id"": null, ""start"": 2889.838049, ""end"": 2889.997949, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,692,6/11/2025 16:50,Array,0.000424862,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3ca00000000",1,1.68026E+18,1.37267E+19,application/json,692,,,,
3630bf65-be21-4c01-a9bf-0c92ca7bd42b,web,31939,2600:1900:0:2d07::3600,webhook.site,POST,python-requests/2.32.3,"{""session_id"": ""kaRN0zxQLHSb1iWdz2iugMCKspA2"", ""segments"": [{""id"": ""5d601fd5-97ea-49ea-9127-d1db9350c02b"", ""text"": ""just hosting our website on their company. So therefore,"", ""speaker"": ""SPEAKER_5"", ""speaker_id"": 5, ""is_user"": false, ""person_id"": null, ""start"": 2845.619099, ""end"": 2888.1279489999997, ""translations"": []}]}",https://webhook.site/702ba032-7ab2-4360-b861-e3de77792748?uid=kaRN0zxQLHSb1iWdz2iugMCKspA2,323,6/11/2025 16:50,Array,0.000370979,,"gzip, deflate",,,,,,*/*,python-requests/2.32.3,,,,,webhook.site,kaRN0zxQLHSb1iWdz2iugMCKspA2,"_dd.p.dm=-1,_dd.p.tid=6849b3c800000000",1,1.13908E+19,1.41405E+19,application/json,323,,,,
